Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,4 years,4,Female,F,2016,2016,1950233
,4 years,4,Female,F,2017,2017,1953885
,4 years,4,Female,F,2018,2018,1963164
Total,4 years,4,Female,F,,,38906124
,4 years,4,Male,M,1999,1999,2020918
,4 years,4,Male,M,2000,2000,1997055
,4 years,4,Male,M,2001,2001,1956035
,4 years,4,Male,M,2002,2002,1950720
,4 years,4,Male,M,2003,2003,1951950
,4 years,4,Male,M,2004,2004,1983939
,4 years,4,Male,M,2005,2005,2058231
,4 years,4,Male,M,2006,2006,2028196
,4 years,4,Male,M,2007,2007,2044444
,4 years,4,Male,M,2008,2008,2065739
,4 years,4,Male,M,2009,2009,2062779
,4 years,4,Male,M,2010,2010,2084214
,4 years,4,Male,M,2011,2011,2105836
,4 years,4,Male,M,2012,2012,2098501
,4 years,4,Male,M,2013,2013,2036782
,4 years,4,Male,M,2014,2014,2043528
,4 years,4,Male,M,2015,2015,2056377
,4 years,4,Male,M,2016,2016,2039084
,4 years,4,Male,M,2017,2017,2042707
,4 years,4,Male,M,2018,2018,2058004
Total,4 years,4,Male,M,,,40685039
Total,4 years,4,,,,,79591163
,5 years,5,Female,F,1999,1999,1950892
,5 years,5,Female,F,2000,2000,1935394
,5 years,5,Female,F,2001,2001,1909212
,5 years,5,Female,F,2002,2002,1876401
,5 years,5,Female,F,2003,2003,1867683
,5 years,5,Female,F,2004,2004,1871767
,5 years,5,Female,F,2005,2005,1901483
,5 years,5,Female,F,2006,2006,1982961
,5 years,5,Female,F,2007,2007,1955007
,5 years,5,Female,F,2008,2008,1968133
,5 years,5,Female,F,2009,2009,1991556
,5 years,5,Female,F,2010,2010,1988040
,5 years,5,Female,F,2011,2011,1998032
,5 years,5,Female,F,2012,2012,2020419
,5 years,5,Female,F,2013,2013,2018270
,5 years,5,Female,F,2014,2014,1961785
,5 years,5,Female,F,2015,2015,1967303
,5 years,5,Female,F,2016,2016,1970911
,5 years,5,Female,F,2017,2017,1956677
,5 years,5,Female,F,2018,2018,1960607
Total,5 years,5,Female,F,,,39052533
,5 years,5,Male,M,1999,1999,2048870
,5 years,5,Male,M,2000,2000,2032440
,5 years,5,Male,M,2001,2001,2000821
,5 years,5,Male,M,2002,2002,1960786
,5 years,5,Male,M,2003,2003,1955885
,5 years,5,Male,M,2004,2004,1957840
,5 years,5,Male,M,2005,2005,1991645
,5 years,5,Male,M,2006,2006,2067621
,5 years,5,Male,M,2007,2007,2038482
,5 years,5,Male,M,2008,2008,2056164
,5 years,5,Male,M,2009,2009,2078709
,5 years,5,Male,M,2010,2010,2076481
,5 years,5,Male,M,2011,2011,2089022
,5 years,5,Male,M,2012,2012,2110630
,5 years,5,Male,M,2013,2013,2103606
,5 years,5,Male,M,2014,2014,2042786
,5 years,5,Male,M,2015,2015,2050282
,5 years,5,Male,M,2016,2016,2063414
,5 years,5,Male,M,2017,2017,2045608
,5 years,5,Male,M,2018,2018,2049511
Total,5 years,5,Male,M,,,40820603
Total,5 years,5,,,,,79873136
,6 years,6,Female,F,1999,1999,1970698
,6 years,6,Female,F,2000,2000,1953990
,6 years,6,Female,F,2001,2001,1937940
,6 years,6,Female,F,2002,2002,1911028
,6 years,6,Female,F,2003,2003,1877108
,6 years,6,Female,F,2004,2004,1867533
,6 years,6,Female,F,2005,2005,1871697
,6 years,6,Female,F,2006,2006,1901451
,6 years,6,Female,F,2007,2007,1981981
,6 years,6,Female,F,2008,2008,1953618
,6 years,6,Female,F,2009,2009,1966642
,6 years,6,Female,F,2010,2010,1993539
,6 years,6,Female,F,2011,2011,1993058
,6 years,6,Female,F,2012,2012,2002787
,6 years,6,Female,F,2013,2013,2025458
,6 years,6,Female,F,2014,2014,2024017
,6 years,6,Female,F,2015,2015,1968139
,6 years,6,Female,F,2016,2016,1973863
,6 years,6,Female,F,2017,2017,1976962
,6 years,6,Female,F,2018,2018,1963030
Total,6 years,6,Female,F,,,39114539
,6 years,6,Male,M,1999,1999,2071922
,6 years,6,Male,M,2000,2000,2050345
,6 years,6,Male,M,2001,2001,2034568
,6 years,6,Male,M,2002,2002,2002026
,6 years,6,Male,M,2003,2003,1960653
,6 years,6,Male,M,2004,2004,1954556
,6 years,6,Male,M,2005,2005,1956456
,6 years,6,Male,M,2006,2006,1989878
,6 years,6,Male,M,2007,2007,2064421
,6 years,6,Male,M,2008,2008,2034499
,6 years,6,Male,M,2009,2009,2051558
,6 years,6,Male,M,2010,2010,2079365
,6 years,6,Male,M,2011,2011,2081475
,6 years,6,Male,M,2012,2012,2093846
,6 years,6,Male,M,2013,2013,2115672
,6 years,6,Male,M,2014,2014,2109357
,6 years,6,Male,M,2015,2015,2049269
,6 years,6,Male,M,2016,2016,2057031
,6 years,6,Male,M,2017,2017,2069663
,6 years,6,Male,M,2018,2018,2052229
Total,6 years,6,Male,M,,,40878789
Total,6 years,6,,,,,79993328
,7 years,7,Female,F,1999,1999,2034495
,7 years,7,Female,F,2000,2000,1994375
,7 years,7,Female,F,2001,2001,1958002
,7 years,7,Female,F,2002,2002,1943048
,7 years,7,Female,F,2003,2003,1916822
,7 years,7,Female,F,2004,2004,1883869
,7 years,7,Female,F,2005,2005,1876179
,7 years,7,Female,F,2006,2006,1882266
,7 years,7,Female,F,2007,2007,1913487
,7 years,7,Female,F,2008,2008,1995829
,7 years,7,Female,F,2009,2009,1968502
,7 years,7,Female,F,2010,2010,1979890
,7 years,7,Female,F,2011,2011,1998703
,7 years,7,Female,F,2012,2012,1998091
,7 years,7,Female,F,2013,2013,2008055
