"","state","sport","boys_participation","girls_participation","total_participation","boys_rank","girls_rank","total_rank"
"201","MD","Football -- 11-Player",12928,16,12944,1,28,1
"202","MD","Track and Field -- Outdoor",6924,5717,12641,2,2,2
"203","MD","Soccer",6764,5839,12603,3,1,3
"204","MD","Lacrosse",6378,5472,11850,4,3,4
"205","MD","Basketball",5650,4368,10018,5,7,5
"206","MD","Track and Field -- Indoor",5448,4525,9973,6,6,6
"207","MD","Cross Country",3824,2681,6505,9,9,7
"208","MD","Volleyball",658,5229,5887,13,4,8
"209","MD","Baseball",5200,7,5207,7,30,9
"210","MD","Wrestling",4557,146,4703,8,19,10
"211","ME","Soccer",4255,3665,7920,1,1,1
"212","ME","Basketball",3536,2662,6198,2,2,2
"213","ME","Track and Field -- Outdoor",2858,2544,5402,5,4,3
"214","ME","Football -- 11-Player",3443,7,3450,3,27,4
"215","ME","Lacrosse",1834,1518,3352,6,6,5
"216","ME","Baseball",3086,11,3097,4,25,6
"217","ME","Track and Field -- Indoor",1559,1408,2967,7,8,7
"218","ME","Team Tennis",1143,1501,2644,9,7,8
"219","ME","Softball -- Fast Pitch",0,2631,2631,29,3,9
"220","ME","Cross Country",1396,1215,2611,8,10,10
"221","MI","Track and Field -- Outdoor",23566,17302,40868,2,2,1
"222","MI","Basketball",21367,15659,37026,3,3,2
"223","MI","Football -- 11-Player",35475,108,35583,1,27,3
"224","MI","Soccer",14550,13285,27835,5,5,4
"225","MI","Volleyball",0,19416,19416,32,1,5
"226","MI","Cross Country",9650,8702,18352,6,7,6
"227","MI","Baseball",17668,7,17675,4,36,7
"228","MI","Tennis",6134,9154,15288,9,6,8
"229","MI","Softball -- Fast Pitch",0,13610,13610,32,4,9
"230","MI","Swimming & Diving",5020,5810,10830,11,9,10
"231","MN","Track and Field -- Outdoor",17026,16458,33484,2,1,1
"232","MN","Basketball",13847,12206,26053,3,4,2
"233","MN","Football -- 11-Player",23205,0,23205,1,25,3
"234","MN","Soccer",9508,8322,17830,5,6,4
"235","MN","Cross Country",7545,9219,16764,7,5,5
"236","MN","Volleyball",0,16458,16458,20,1,6
"237","MN","Baseball",13736,6,13742,4,24,7
"238","MN","Softball -- Fast Pitch",0,13104,13104,20,3,8
"239","MN","Tennis",5034,6635,11669,10,7,9
"240","MN","Golf",5491,4244,9735,9,11,10
"241","MO","Track and Field -- Outdoor",15577,12284,27861,2,1,1
"242","MO","Basketball",14313,9971,24284,4,3,2
"243","MO","Football -- 11-Player",20891,0,20891,1,14,3
"244","MO","Soccer",8950,8384,17334,5,5,4
"245","MO","Baseball",14914,0,14914,3,14,5
"246","MO","Volleyball",1198,10441,11639,12,2,6
"247","MO","Cross Country",6055,4374,10429,7,6,7
"248","MO","Softball -- Fast Pitch",0,9844,9844,16,4,8
"249","MO","Team Tennis",3658,4029,7687,9,7,9
"250","MO","Tennis",3658,4029,7687,9,7,9
"251","MS","Football -- 11-Player",22440,0,22440,1,21,1
"252","MS","Basketball",8720,8420,17140,2,1,2
"253","MS","Track and Field -- Outdoor",8325,5600,13925,3,2,3
"254","MS","Baseball",7855,0,7855,4,21,4
"255","MS","Soccer",4012,2700,6712,6,5,5
"256","MS","Weight Lifting",4510,1475,5985,5,11,6
"257","MS","Softball -- Fast Pitch",0,4940,4940,18,3,7
"258","MS","Team Tennis",2276,2276,4552,8,7,8
"259","MS","Tennis",2261,1901,4162,9,8,9
"260","MS","Competitive Spirit Squad",130,3950,4080,15,4,10
"261","MT","Basketball",3410,2837,6247,2,2,1
"262","MT","Track and Field -- Outdoor",3379,2650,6029,3,3,2
"263","MT","Football -- 11-Player",3715,9,3724,1,11,3
"264","MT","Volleyball",0,3412,3412,12,1,4
"265","MT","Cross Country",1198,1017,2215,5,5,5
"266","MT","Tennis",663,902,1565,9,6,6
"267","MT","Soccer",758,795,1553,8,7,7
"268","MT","Golf",981,506,1487,6,8,8
"269","MT","Wrestling",1353,32,1385,4,10,9
"270","MT","Softball -- Fast Pitch",0,1176,1176,12,4,10
"271","NC","Football -- 11-Player",28600,0,28600,1,13,1
"272","NC","Track and Field -- Outdoor",14663,10398,25061,2,2,2
"273","NC","Soccer",12298,10254,22552,3,3,3
"274","NC","Competitive Spirit Squad",0,20250,20250,13,1,4
"275","NC","Basketball",11063,7913,18976,4,5,5
"276","NC","Cross Country",6632,5250,11882,7,7,6
"277","NC","Track and Field -- Indoor",6482,5040,11522,8,9,7
"278","NC","Baseball",10959,0,10959,5,13,8
"279","NC","Volleyball",0,9565,9565,13,4,9
"280","NC","Swimming & Diving",3973,5062,9035,9,8,10
"281","ND","Basketball",2977,2267,5244,1,2,1
"282","ND","Track and Field -- Outdoor",2563,2160,4723,3,3,2
"283","ND","Volleyball",0,3126,3126,13,1,3
"284","ND","Football -- 11-Player",2954,10,2964,2,13,4
"285","ND","Baseball",1571,2,1573,4,15,5
"286","ND","Golf",929,487,1416,6,7,6
"287","ND","Soccer",685,631,1316,9,5,7
"288","ND","Cross Country",695,591,1286,8,6,8
"289","ND","Football -- 9-player",1136,10,1146,5,13,9
"290","ND","Softball -- Fast Pitch",0,1027,1027,13,4,10
"291","NE","Track and Field -- Outdoor",8714,7419,16133,2,1,1
"292","NE","Basketball",7208,5882,13090,3,3,2
"293","NE","Football -- 11-Player",9046,19,9065,1,13,3
"294","NE","Volleyball",0,6714,6714,13,2,4
